District,Area,Number,Country
1,30.56776436,25,ENGLAND
2,52.83095189,47,ENGLAND
3,56.244998,50,ENGLAND
4,40.78232998,34,ENGLAND
5,66.41619849,59,ENGLAND
6,59.1240384,51,ENGLAND
7,52.88819442,44,ENGLAND
8,29.69535971,20,ENGLAND
9,26.53565375,16,ENGLAND
10,45.40175425,34,ENGLAND
11,59.28820573,47,ENGLAND
12,19.19090596,6,ENGLAND
13,42.10673598,28,ENGLAND
14,50.03329638,35,ENGLAND
15,30.96871942,15,ENGLAND
16,57.91153453,41,ENGLAND
17,36.8605711,19,ENGLAND
18,32.81488772,14,ENGLAND
19,31.77371993,12,ENGLAND
20,24.73644135,4,ENGLAND
21,67.70253441,46,ENGLAND
22,67.6715681,45,ENGLAND
23,55.64318084,32,ENGLAND
24,53.61706725,29,ENGLAND
25,86.59296778,61,ENGLAND
26,77.57066051,51,ENGLAND
27,65.54995463,38,ENGLAND
28,62.53068524,34,ENGLAND
29,47.51270913,18,ENGLAND
30,83.49590136,53,ENGLAND
31,51.48015248,20,ENGLAND
32,51.46536616,19,ENGLAND
33,62.45145737,29,ENGLAND
34,54.43835072,20,ENGLAND
35,59.42597917,24,ENGLAND
36,65.41428291,29,ENGLAND
37,77.40320842,40,ENGLAND
38,52.39270764,14,ENGLAND
39,82.38273734,43,ENGLAND
40,75.37325848,35,ENGLAND
41,60.36423576,19,ENGLAND
42,62.35563717,20,ENGLAND
43,68.3474336,25,ENGLAND
44,75.33959855,31,ENGLAND
45,111.3321078,66,ENGLAND
46,52.32493929,6,ENGLAND
47,84.31807266,37,ENGLAND
48,97.31148932,49,ENGLAND
49,73.30517214,24,ENGLAND
50,79.29910536,29,ENGLAND
51,76.29327441,25,ENGLAND
52,72.28766585,20,ENGLAND
53,76.28226722,23,ENGLAND
54,70.27706698,16,ENGLAND
55,86.27205442,31,ENGLAND
56,89.26721959,33,ENGLAND
57,94.26255321,37,ENGLAND
58,73.25804665,15,ENGLAND
59,78.25369187,19,ENGLAND
60,82.24948133,22,ENGLAND
61,93.24540799,32,ENGLAND
62,81.24146528,19,ENGLAND
63,101.237647,38,ENGLAND
64,107.2339474,43,ENGLAND
65,80.23036103,15,ENGLAND
66,87.22688276,21,ENGLAND
67,88.22350779,21,ENGLAND
68,105.2202316,37,ENGLAND
69,94.21704992,25,ENGLAND
70,96.21395873,26,ENGLAND
71,84.21095421,13,ENGLAND
72,108.2080328,36,ENGLAND
73,113.2051911,40,ENGLAND
74,107.2024258,33,ENGLAND
75,124.199734,49,ENGLAND
76,94.19711281,18,ENGLAND
77,94.19455939,17,ENGLAND
78,126.1920712,48,ENGLAND
79,119.1896458,40,ENGLAND
80,101.1872808,21,ENGLAND
81,113.184974,32,ENGLAND
82,138.1827232,56,ENGLAND
83,117.1805266,34,ENGLAND
84,100.178382,16,ENGLAND
85,127.1762878,42,ENGLAND
86,127.1742421,41,ENGLAND
87,109.1722433,22,ENGLAND
88,104.1702898,16,ENGLAND
89,114.16838,25,WALES
90,158.1665126,68,WALES
91,109.1646861,18,WALES
92,109.1628993,17,WALES
93,99.1611507,6,WALES
94,161.1594393,67,WALES
95,122.1577637,27,WALES
96,129.156123,33,WALES
97,110.1545161,13,WALES
98,132.1529419,34,WALES
99,140.1513994,41,WALES
100,126.1498877,26,WALES
101,142.1484058,41,WALES
102,114.146953,12,WALES
103,145.1455283,42,WALES
104,160.1441309,56,WALES
105,139.1427601,34,WALES
106,124.1414151,18,WALES
107,136.1400952,29,WALES
108,124.1387997,16,WALES
109,124.1375279,15,WALES
110,127.1362792,17,SCOTLAND
111,131.135053,20,SCOTLAND
112,131.1338486,19,SCOTLAND
113,131.1326655,18,SCOTLAND
114,135.1315031,21,SCOTLAND
115,130.1303609,15,SCOTLAND
116,125.1292384,9,SCOTLAND
117,155.128135,38,SCOTLAND
118,148.1270502,30,SCOTLAND
119,127.1259837,8,SCOTLAND
120,144.124935,24,SCOTLAND
121,138.1239035,17,SCOTLAND
122,149.1228889,27,SCOTLAND
123,136.1218908,13,SCOTLAND
124,156.1209088,32,SCOTLAND
125,148.1199425,23,SCOTLAND
126,160.1189914,34,SCOTLAND
127,145.1180554,18,SCOTLAND
