BOX,SEX,TREAT,WEIGHT
1,Male,Cooled,8.600648944
1,Male,Cooled,9.488773841
1,Male,Cooled,8.657960676
1,Female,Cooled,9.318545673
1,Female,Cooled,10.06965273
1,Female,Cooled,9.813356982
2,Male,Cooled,8.552978211
2,Male,Cooled,9.029679083
2,Male,Cooled,8.934244086
2,Female,Cooled,9.676584513
2,Female,Cooled,9.760854056
2,Female,Cooled,9.971071261
3,Male,Cooled,8.356565059
3,Male,Cooled,8.921615328
3,Male,Cooled,9.637910213
3,Female,Cooled,9.979812255
3,Female,Cooled,9.430978895
3,Female,Cooled,9.979035557
4,Male,Cooled,9.312007624
4,Male,Cooled,9.851411356
4,Male,Cooled,10.13628574
4,Female,Cooled,9.803484821
4,Female,Cooled,10.80123512
4,Female,Cooled,10.28664805
5,Male,Warmed,10.3465843
5,Male,Warmed,10.87598227
5,Male,Warmed,10.21568547
5,Female,Warmed,10.40849371
5,Female,Warmed,10.68530331
5,Female,Warmed,10.02250474
6,Male,Warmed,10.12674712
6,Male,Warmed,9.206711562
6,Male,Warmed,9.657667816
6,Female,Warmed,9.406873191
6,Female,Warmed,9.321578805
6,Female,Warmed,9.543619428
7,Male,Warmed,10.68413266
7,Male,Warmed,10.13051434
7,Male,Warmed,10.17385572
7,Female,Warmed,9.895328778
7,Female,Warmed,10.77885106
7,Female,Warmed,10.39984315
8,Male,Warmed,11.08832885
8,Male,Warmed,10.69153758
8,Male,Warmed,10.37244976
8,Female,Warmed,10.48695458
8,Female,Warmed,10.69111133
8,Female,Warmed,10.55300661
9,Male,Control,10.25675341
9,Male,Control,10.42744614
9,Male,Control,10.42050601
9,Female,Control,10.28282756
9,Female,Control,10.19822232
9,Female,Control,10.4257216
10,Male,Control,9.832766415
10,Male,Control,9.879854689
10,Male,Control,10.14388916
10,Female,Control,9.751834369
10,Female,Control,9.328931565
10,Female,Control,9.438245626
11,Male,Control,9.660207668
11,Male,Control,9.222464301
11,Male,Control,9.792177348
11,Female,Control,10.09590942
11,Female,Control,9.233809794
11,Female,Control,9.29755527
12,Male,Control,10.42254132
12,Male,Control,10.55501479
12,Male,Control,10.36639282
12,Female,Control,10.31485606
12,Female,Control,10.39013957
12,Female,Control,10.03525957
