weight,Time,Rat,Diet
410,1,1,1
415,8,1,1
425,15,1,1
428,22,1,1
438,29,1,1
443,36,1,1
442,43,1,1
446,44,1,1
456,50,1,1
468,57,1,1
478,64,1,1
405,1,2,1
420,8,2,1
430,15,2,1
440,22,2,1
448,29,2,1
460,36,2,1
458,43,2,1
464,44,2,1
475,50,2,1
484,57,2,1
496,64,2,1
445,1,3,1
445,8,3,1
450,15,3,1
452,22,3,1
455,29,3,1
455,36,3,1
451,43,3,1
450,44,3,1
462,50,3,1
466,57,3,1
472,64,3,1
455,1,4,1
460,8,4,1
465,15,4,1
480,22,4,1
490,29,4,1
497,36,4,1
495,43,4,1
495,44,4,1
512,50,4,1
518,57,4,1
528,64,4,1
470,1,5,2
465,8,5,2
475,15,5,2
485,22,5,2
487,29,5,2
493,36,5,2
493,43,5,2
504,44,5,2
507,50,5,2
518,57,5,2
525,64,5,2
535,1,6,2
525,8,6,2
530,15,6,2
533,22,6,2
535,29,6,2
540,36,6,2
525,43,6,2
530,44,6,2
543,50,6,2
544,57,6,2
559,64,6,2
520,1,7,2
525,8,7,2
530,15,7,2
540,22,7,2
543,29,7,2
546,36,7,2
538,43,7,2
544,44,7,2
553,50,7,2
555,57,7,2
548,64,7,2
510,1,8,2
510,8,8,2
520,15,8,2
515,22,8,2
530,29,8,2
538,36,8,2
535,43,8,2
542,44,8,2
550,50,8,2
553,57,8,2
569,64,8,2
