"females","males","av.length","depth","flow","river"
7,7,-0.0341386596572171,0.2,6.67,8
8,14,-0.0321469806454232,0.1033,3.61,8
8,3,0.650998920399941,0.1533,15,8
23,11,0.695284489015127,0.1733,2.73,8
9,2,-0.352807301544268,0.24,4.11,8
16,3,0.316396846418539,0.13,3.8,8
17,5,0.483697883409241,0.3367,4.23,8
6,4,0.377740559981796,0.21,4.23,8
3,5,-0.297040289214034,0.21,3.61,8
4,6,0.00967827860225226,0.1133,2.8,8
5,2,-0.428491103992442,0.0667,3.13,8
4,1,1.84998968549997,0.5167,15.79,8
10,0,2.49409867791417,0.52,6.67,8
6,1,0.272579908159069,0.5333,0.98,8
17,7,0.380296548046931,0.43,5,8
4,1,1.48192740412043,0.51,8.57,8
5,0,-1.15585227909964,0.4033,3.13,8
8,3,0.706765932730176,0.29,7.69,7
7,3,-1.15585227909964,0.18,15.79,7
15,8,-0.470402957979761,0.2167,4.84,7
37,22,-0.931271904020592,0.3,0.65,7
11,10,-1.74299925177653,0.2267,4.84,7
69,43,0.258887114952985,0.1367,1.45,7
10,4,-1.37055527657104,0.2133,2.63,7
24,20,-1.09172021491987,0.1667,9.68,7
3,2,-1.76928941473221,0.2633,6,7
58,34,-0.437063983217121,0.12,7.14,7
9,10,-1.07190825001307,0.7167,1.01,7
15,5,-1.00249299519149,0.6633,4.21,7
9,3,-1.70283372503868,0.46,11.54,7
20,11,-1.4645496763857,0.7167,4.05,7
8,5,-2.18453916808349,0.8767,7.5,7
20,12,-1.06383670875475,0.6767,12.5,7
11,4,-1.58525827404244,0.45,7.89,7
130,64,-0.937354825119168,0.6767,3.49,7
12,10,-1.23113774574545,0.8267,4.05,7
4,4,-1.75395348634139,0.9833,4.05,7
5,7,-0.399279811819462,0.2167,2.46,6
4,1,0.316396846418539,0.35,4.06,6
3,4,-1.12956211614395,0.1233,9.38,6
6,2,-1.14051635070882,0.1567,2.11,6
7,7,-0.932385893976342,0.2067,0.64,6
10,1,-1.21719599266289,0.2667,4.55,6
12,14,-0.0139154573836158,0.1767,3.66,6
5,8,-0.60375885703032,0.2633,4.41,6
3,5,-1.21719599266289,0.27,2.46,6
3,3,-0.96159718614932,0.22,4.29,6
9,2,1.04136800671158,0.89,8.82,6
5,0,0.623115414234825,1.0933,8.82,6
10,6,-0.220360647259962,1.0933,2.94,6
9,1,0.163037562510395,0.9333,1.03,6
16,3,0.703830826818058,0.7733,5.36,6
7,4,1.20866904370228,0.7733,5.36,6
2,3,-1.33988341978941,0.57,4.69,6
6,2,0.776474698142968,0.5367,7.14,6
12,3,-0.297040289214034,1.0167,2.24,6
7,2,0.691275095971777,1.0867,3.49,6
5,1,-0.501519334424892,0.1633,1.58,5
2,3,-0.481071429903806,0.1533,11.54,5
9,4,-1.00485236879008,0.0933,13.64,5
7,4,-0.966244437176841,0.19,13.64,5
7,1,-0.948817245823642,0.0833,5.88,5
2,3,-1.40122713335267,0.1467,14.29,5
13,11,-0.207580706934284,0.2,14.29,5
6,6,-0.578198976378964,0.12,7.5,5
11,13,0.0735779802306449,0.0967,1.6,5
17,12,0.0837137949717012,0.1833,1.4,5
0,5,-1.40122713335267,0.2267,2.38,5
3,3,1.18543278856468,0.4067,3.66,5
10,4,2.33197600635413,0.4233,3.13,5
11,2,-1.09922731273355,0.6033,3,5
6,1,0.097312155121191,0.3767,6.67,5
14,5,-0.377755701797267,0.3933,3.51,5
3,2,-0.971821138409864,0.47,7.5,5
7,3,0.469756130326682,0.5767,14.29,5
6,2,0.00967827860225226,0.2,4.35,4
6,1,-0.253223350954565,0.19,11.11,4
8,4,-1.08939658940611,0.12,17.65,4
5,1,-0.552639095727606,0.15,15,4
8,1,-0.160720925740129,0.2033,5.77,4
18,7,1.44512117598247,0.2267,2.38,4
4,1,-0.358384002777291,0.1633,4.29,4
6,2,1.08319326595925,0.2833,13.64,4
3,2,-0.542415143467063,0.13,4.84,4
12,7,1.01054939463434,0.4367,7.32,4
4,1,-1.15585227909964,0.4067,14.29,4
4,1,2.15670825331626,0.54,11.11,4
2,3,0.868490268487854,0.3967,2.55,4
6,7,0.363584318390275,0.3833,9.38,4
4,3,-1.9182670048144,1.16,1.56,4
3,4,0.2287629698996,0.51,2.34,4
5,3,1.42825165475258,0.44,6,4
6,3,1.54327111768368,0.5333,8.33,4
9,2,1.32020306836275,0.5633,7.32,4
7,13,0.0403501353838813,0.2867,1.34,3
6,7,-0.72172753695966,0.15,1.81,3
24,21,0.425452337197662,0.2867,0.38,3
6,1,-1.21719599266289,0.2733,2,3
8,2,0.163037562510395,0.09,0.63,3
8,2,0.623115414234825,0.1467,1.88,3
9,4,-0.839696216889002,0.12,1.27,3
5,1,1.2365525498674,0.76,1.34,3
7,3,0.991177695614368,0.5167,3.06,3
11,6,1.27263708725755,1.0667,1.63,3
8,3,0.56734840190459,0.8967,0.71,3
11,5,-0.258700468236998,0.5567,7.14,3
5,1,0.163037562510395,0.58,5.17,3
3,2,0.0710219921655093,0.5533,2.42,3
6,2,0.239717204464467,0.5233,2.41,3
8,1,0.75943477770873,0.5533,0.88,3
5,2,0.710749290753763,0.91,1.29,3
8,3,0.790416451225527,0.9333,6.38,3
10,2,0.111917801207681,0.85,7.5,3
22,9,0.425232467256576,0.1567,0.7,2
5,0,-1.33988341978941,0.15,3.8,2
8,3,-0.2412732768838,0.18,11.54,2
7,3,-0.358384002777291,0.11,6.12,2
7,2,-0.569679016161844,0.1867,5.08,2
3,3,-0.297040289214034,0.1533,6.52,2
4,9,0.363584318390275,0.26,6.52,2
5,1,1.54327111768368,0.2733,3.95,2
4,1,3.62895737883443,0.4167,4.84,2
13,0,1.00061519000872,0.4667,4.62,2
10,9,1.83384660298332,0.56,4.41,2
6,6,0.725354936840253,0.53,5.88,2
5,1,0.725354936840253,0.48,14.29,2
14,18,0.795644608631486,0.4133,5.45,2
