NAME,YEARf,AGE,SEX,WEIGHT,Testosterone,ODIN,STR,SURV1
NG020,93,1,F,19,NA,1.715,0,1
NG039,93,1,F,15,NA,0.594,100,1
NG045,93,1,M,22,NA,1.75,300,1
NG071,93,1,M,18.4,NA,1.054,300,1
NG074,93,1,M,18.8,NA,1.957,1200,1
NG094,93,1,M,25.4,NA,1.424,1000,1
NG094,93,1,M,25.4,NA,1.307,1000,1
NG095,93,1,F,15.6,NA,1.428,0,1
NG101,93,1,F,20.4,NA,2.131,0,1
NG103,93,1,F,17.2,NA,2.164,300,1
NG104,93,1,M,20,NA,2.174,100,1
NG107,93,1,M,23.3,NA,1.821,500,NA
NG108,93,1,F,17.8,NA,1.993,300,1
NG109,93,1,M,21.4,NA,2.079,900,1
NG110,93,1,M,12.6,NA,1.014,2000,1
NG111,93,1,F,19.8,NA,1.913,0,1
NG112,93,1,M,19.4,NA,0.777,800,1
NG116,93,1,M,22.1,NA,1.834,400,1
NG118,93,1,M,19.8,NA,2.023,1100,1
NG120,93,1,F,17.4,NA,1.97,100,NA
NG121,93,1,M,23.7,NA,1.527,100,1
NG123,93,1,M,24.7,NA,2.069,500,1
NG138,93,1,F,17.1,NA,1.183,300,1
NL002,91,0,M,13.6,11.96,0.20122,1500,0
NL004,91,0,F,8.8,0.59,0.59553,100,0
NL005,91,0,F,15.7,0.56,1.20732,100,1
NL013,91,0,F,14.2,0.48,0.82927,100,1
NL018,91,0,F,15.3,0.45,0.7378,0,1
NL028,91,0,F,13.2,0.42,3.19309,200,0
NL029,91,0,F,11.6,0.37,2.95732,0,1
NL030,91,0,M,14.9,1.23,0.59959,400,NA
NL034,91,0,M,12.6,0.68,1.55488,500,0
NL048,91,0,F,14,0.37,0.89837,0,1
NL049,91,0,M,16,2.25,0.71275,500,1
NL053,91,0,M,11.8,0.96,0.31598,600,0
NL054,91,0,M,18.2,1.3,1.00359,400,0
NL055,91,0,F,11.7,0.48,1.14901,600,0
NL056,91,0,F,10.6,0.35,0.21951,200,0
