hdc,x,y,adults
10,1733999.799,5132870.501,15.5
20,1724059.487,5088122.891,15.6
30,1733787.083,5143561.04,15.4
40,1711843.55,5094904.854,16
50,1756772.857,5162068.649,15.4
60,1748291.263,5114108.41,15.7
70,1747020.523,5147111.351,15.3
80,1755419.115,5151810.841,15.3
90,1721823.143,5135378.066,15.4
100,1754492.226,5131148.101,15.4
110,1728247.121,5136994.699,15.3
120,1728501.171,5110074.111,15.9
130,1765200.988,5119003.396,15.7
140,1751650.551,5140870.32,15.4
150,1731814.094,5150710.84,15.2
160,1764911.293,5168779.355,15.6
170,1739548.989,5161887.69,15.4
180,1768949.897,5162511.688,15.6
190,1763693.115,5149660.06,15.5
200,1718340.677,5137806.96,15.5
210,1759747.277,5110362.996,15.9
220,1725407.824,5103354.302,16
230,1716905.218,5097673.975,15.4
240,1745549.832,5136293.149,15.4
250,1730122.784,5121403.145,15.4
260,1710215.901,5104357.9,16.2
270,1738701.321,5130578.533,15.4
280,1733372.953,5099662.959,15.8
290,1747044.466,5106495.729,15.8
300,1724021.093,5153993.338,15.3
310,1751454.587,5129037.247,15.4
320,1767763.388,5150607.178,15.5
330,1762424.671,5155824.204,15.5
340,1739767.938,5101573.027,15.8
350,1755194.657,5135952.628,15.3
360,1721366.854,5103086.038,16.1
370,1759673.506,5140487.216,15.2
380,1759714.659,5120148.145,15.7
390,1758758.001,5145369.185,15.4
400,1753531.734,5116784.326,15.8
410,1759623.167,5114913.177,15.8
420,1724356.179,5091851.152,15.8
430,1731896.994,5126083.198,15.4
440,1724991.658,5146587.066,15.5
450,1734271.541,5112793.88,15.9
460,1771454.797,5168552.774,15.4
470,1776341.843,5168716.491,15.5
480,1736792.119,5109613.185,15.9
490,1728772.274,5141459.09,15.3
500,1779212.419,5165073.55,15.5
510,1742574.629,5151920.758,15.4
520,1782494.063,5164220.236,15.5
530,1740864.679,5117718.041,16
540,1735199.238,5148692.766,15.3
550,1720422.454,5092022.808,15.6
560,1735901.94,5117205.039,15.9
570,1757561.535,5122933.973,15.3
580,1717147.839,5105386.978,16
590,1729031.931,5133300.022,15.4
600,1765496.57,5110567.181,15.4
610,1745423.451,5104386.575,15.6
620,1725757.155,5139745.393,15.3
630,1753262.416,5143969.31,15.4
640,1729638.714,5093684.658,15.7
650,1773061.418,5155045.252,15.5
660,1747090.352,5145050.015,15.4
670,1739215.494,5140069.278,15.4
680,1744675.522,5142096.995,15.3
